Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
FlappyBrain,1.726,35.177,26.107,10256,7.376
FlappyBrain,1.474,68.216,25.045,10301,7.474
FlappyBrain,1.452,101.373,25.163,10302,7.624
FlappyBrain,1.473,134.341,24.986,10272,7.789
FlappyBrain,1.474,167.701,25.214,10299,8.007
FlappyBrain,1.458,201.061,25.361,10252,8.331
FlappyBrain,1.449,234.487,25.479,10274,8.754
FlappyBrain,1.476,267.802,25.414,10252,9.430
FlappyBrain,1.467,301.019,25.512,10284,10.158
FlappyBrain,1.463,334.488,25.455,10293,10.871
FlappyBrain,1.473,367.804,25.491,10298,11.571
FlappyBrain,1.457,400.876,25.346,10262,12.180
FlappyBrain,1.475,433.861,25.389,10301,12.849
FlappyBrain,1.478,466.947,25.349,10262,13.460
FlappyBrain,1.473,500.272,25.523,10294,14.023
FlappyBrain,1.460,533.270,25.276,10251,14.594
FlappyBrain,1.484,566.382,25.510,10245,15.258
FlappyBrain,1.467,599.460,25.346,10254,15.872
FlappyBrain,1.470,632.560,25.478,10298,16.462
FlappyBrain,1.474,664.993,25.254,10245,17.159
FlappyBrain,1.501,697.640,25.464,10261,17.936
FlappyBrain,1.455,729.867,25.476,10265,18.735
FlappyBrain,1.480,762.230,25.475,10286,19.488
FlappyBrain,1.475,794.174,25.490,10290,19.922
FlappyBrain,1.489,826.145,25.640,10261,20.940
FlappyBrain,1.465,858.519,25.432,10262,22.061
FlappyBrain,1.462,890.488,25.482,10255,22.840
FlappyBrain,1.465,922.227,25.454,10245,23.722
FlappyBrain,1.455,953.832,25.476,10270,23.722
FlappyBrain,1.477,985.662,25.502,10258,25.404
FlappyBrain,1.461,1017.702,25.597,10259,26.217
FlappyBrain,1.475,1049.484,25.622,10270,26.217
FlappyBrain,1.467,1081.382,25.578,10289,28.168
FlappyBrain,1.470,1113.154,25.514,10270,28.168
FlappyBrain,1.468,1144.678,25.390,10270,28.168
FlappyBrain,1.477,1176.329,25.501,10270,28.168
FlappyBrain,1.474,1208.005,25.506,10270,28.168
FlappyBrain,1.592,1544.102,328.786,10270,28.168
FlappyBrain,1.582,2166.944,614.631,10270,28.168
FlappyBrain,1.583,2824.402,649.393,10270,28.168
FlappyBrain,1.596,3441.801,609.078,10274,35.574
FlappyBrain,1.469,3830.198,380.788,10252,36.445
FlappyBrain,1.479,4118.794,281.255,10270,36.445
FlappyBrain,1.480,4390.722,264.535,10270,36.445
FlappyBrain,1.480,4672.466,274.335,10270,36.445
FlappyBrain,1.486,4961.763,281.534,10242,39.951
FlappyBrain,1.483,5250.687,281.613,10270,39.951
FlappyBrain,1.482,5537.597,279.613,10270,39.951
FlappyBrain,1.478,5801.296,256.203,10289,42.575
FlappyBrain,1.486,6081.851,273.216,10270,42.575
FlappyBrain,1.478,6370.859,281.693,10270,42.575
FlappyBrain,1.478,6641.858,263.662,10270,42.575
FlappyBrain,1.476,6915.916,266.391,10263,46.349
FlappyBrain,1.478,7193.200,269.704,10288,46.861
FlappyBrain,1.475,7482.773,282.247,10270,46.861
FlappyBrain,1.478,7751.891,261.452,10273,48.989
FlappyBrain,1.464,8034.454,275.159,10270,48.989
FlappyBrain,1.481,8320.327,278.256,10302,50.542
FlappyBrain,1.475,8593.199,265.498,10270,50.542
FlappyBrain,1.496,8856.345,255.546,10267,51.738
FlappyBrain,1.480,9131.717,268.090,10270,51.738
FlappyBrain,1.484,9408.679,269.672,10270,51.738
FlappyBrain,1.497,9707.273,291.285,10270,51.738
FlappyBrain,1.474,9982.020,267.264,10270,51.738
FlappyBrain,1.473,10247.590,258.190,10270,51.738
FlappyBrain,1.477,10524.366,269.312,10257,57.361
FlappyBrain,1.466,10815.829,284.271,10270,57.361
FlappyBrain,1.479,11085.861,262.681,10270,57.361
FlappyBrain,1.480,11367.198,273.821,10270,57.361
FlappyBrain,1.477,11628.814,254.355,10270,57.361
FlappyBrain,1.480,11895.282,259.111,10270,57.361
FlappyBrain,1.471,12165.068,262.217,10277,62.861
FlappyBrain,1.464,12462.916,290.480,10270,62.861
FlappyBrain,1.482,12748.318,278.134,10270,62.861
FlappyBrain,1.476,13008.334,252.754,10270,62.861
FlappyBrain,1.483,13279.767,264.112,10270,62.861
FlappyBrain,1.485,13539.285,252.196,10270,62.861
FlappyBrain,1.483,13805.224,258.522,10270,62.861
FlappyBrain,1.473,14074.888,262.300,10270,62.861
FlappyBrain,1.483,14353.996,271.560,10294,70.402
FlappyBrain,1.469,14605.794,244.513,10270,70.402
FlappyBrain,1.478,14886.888,273.375,10271,71.997
FlappyBrain,1.477,15158.621,264.344,10298,72.758
FlappyBrain,1.476,15443.219,277.250,10270,72.758
FlappyBrain,1.477,15694.485,243.972,10270,72.758
FlappyBrain,1.502,15965.298,263.192,10298,75.276
FlappyBrain,1.483,16265.175,292.512,10270,75.276
FlappyBrain,1.472,16535.926,263.213,10292,77.182
FlappyBrain,1.478,16828.811,285.525,10270,77.182
FlappyBrain,1.478,17132.193,296.014,10270,77.182
FlappyBrain,1.487,17399.560,259.982,10270,77.182
FlappyBrain,1.486,17655.477,248.492,10279,80.583
FlappyBrain,1.484,17925.691,262.742,10244,81.398
FlappyBrain,1.471,18216.641,283.618,10270,81.398
FlappyBrain,1.498,18489.264,264.813,10302,82.923
FlappyBrain,1.475,18762.795,266.230,10270,82.923
FlappyBrain,1.484,19050.863,280.662,10270,82.923
FlappyBrain,1.475,19294.241,235.358,10287,85.239
FlappyBrain,1.482,19560.705,258.667,10270,85.928
FlappyBrain,1.479,19834.971,266.531,10278,86.469
FlappyBrain,1.504,20115.480,273.227,10270,86.469
FlappyBrain,1.472,20400.945,278.080,10270,86.469
FlappyBrain,1.483,20709.791,301.261,10270,86.469
FlappyBrain,1.480,20982.810,265.665,10270,86.469
FlappyBrain,1.486,21277.712,287.583,10270,86.469
FlappyBrain,1.480,21573.959,288.888,10270,86.469
FlappyBrain,1.475,21849.598,268.249,10270,86.469
FlappyBrain,1.474,22138.800,281.844,10281,93.782
FlappyBrain,1.479,22418.959,272.805,10270,93.782
FlappyBrain,1.464,22671.343,245.012,10270,93.782
FlappyBrain,1.486,22958.228,279.248,10275,96.261
FlappyBrain,1.480,23243.321,277.415,10302,96.836
FlappyBrain,1.473,23529.899,279.062,10261,97.713
FlappyBrain,1.469,23803.901,266.677,10270,97.713
FlappyBrain,1.473,24079.475,268.279,10270,97.713
FlappyBrain,1.629,24352.136,265.111,10282,100.364
FlappyBrain,1.486,24618.795,259.091,10303,100.794
FlappyBrain,1.476,24891.471,265.250,10276,101.573
FlappyBrain,1.481,25165.382,266.506,10270,101.573
FlappyBrain,1.463,25449.890,277.215,10270,101.573
FlappyBrain,1.466,25731.033,273.791,10270,101.573
FlappyBrain,1.481,26027.703,289.289,10270,101.573
FlappyBrain,1.472,26313.520,278.516,10270,101.573
FlappyBrain,1.499,26601.891,281.035,10270,101.573
FlappyBrain,1.479,26873.091,263.928,10270,101.573
FlappyBrain,1.481,27148.316,267.848,10270,101.573
FlappyBrain,1.504,27416.036,260.026,10282,109.633
FlappyBrain,1.478,27676.943,253.408,10258,110.291
FlappyBrain,1.475,27971.710,287.314,10270,110.291
FlappyBrain,1.487,28232.478,253.447,10270,110.291
FlappyBrain,1.476,28524.345,284.531,10270,110.291
FlappyBrain,1.483,28826.732,294.931,10270,110.291
FlappyBrain,1.475,29092.596,258.493,10270,110.291
FlappyBrain,1.479,29238.280,138.638,10265,114.871
FlappyBrain,1.618,29271.133,26.384,10270,114.871
FlappyBrain,1.482,29318.843,41.321,10270,114.871
FlappyBrain,1.509,29351.009,25.797,10270,114.871
FlappyBrain,1.553,29383.644,26.250,10270,114.871
FlappyBrain,1.492,29415.888,25.990,10270,114.871
FlappyBrain,1.477,29448.127,25.995,10270,114.871
FlappyBrain,1.482,29480.430,25.897,10265,120.933
FlappyBrain,1.482,29512.774,25.891,10273,121.711
FlappyBrain,1.539,29546.503,27.110,10258,122.736
FlappyBrain,1.557,29581.485,28.264,10270,122.736
FlappyBrain,1.511,29617.041,28.770,10269,124.186
FlappyBrain,1.631,29654.224,29.835,10292,124.729
FlappyBrain,1.757,29693.059,31.329,10270,124.729
